id,mensagem
36, "A vida é feita de momentos, e os difíceis também passam."
37, "Você não é o que te aconteceu. Você é o que escolheu se tornar."
38, "Há sempre uma nova chance de florescer, mesmo depois da tempestade."
39, "Ser forte não significa não ter medo, mas enfrentar a vida apesar dele."
40, "Seu valor não se mede por sua produtividade, mas por quem você é."
41, "O sol sempre volta a brilhar, não desista da sua manhã."
42, "Uma conversa pode ser o abraço que sua alma precisa."
43, "O amanhã pode ser a página que você estava esperando."
44, "Respeite seu processo. Cada um tem seu tempo de cura."
45, "A sua dor é válida. E o seu pedido de ajuda também."
46, "A dor pode ser uma ponte para a empatia. Acolha-se."
47, "Não se cobre tanto. Você já superou muitas coisas."
48, "Em um mundo de incertezas, seja a sua própria âncora."
49, "A sua vida é uma obra de arte única. Proteja-a."
50, "Cuidar da sua saúde mental é o maior ato de amor-próprio."
51, "Seu corpo e sua mente precisam de paz. Dê-se esse presente."
52, "A esperança é uma semente. Cuide dela todos os dias."
53, "Seja a voz que você precisou ouvir."
54, "As cicatrizes contam a história da sua coragem."
55, "Sua existência é um presente para o mundo. Jamais duvide disso."
56, "O silêncio pode ser ensurdecedor. Quebre-o com o diálogo."
57, "O choro lava a alma. Não tenha vergonha de suas lágrimas."
58, "Sua jornada é sua, e você não precisa percorrê-la só."
59, "Há beleza na fragilidade de um coração que se permite curar."
60, "Sua luz é necessária, mesmo que você não a veja agora."
61, "Abrace a sua vulnerabilidade. É nela que mora a sua força."
62, "Não compare seu processo com o de ninguém. Você é único."
63, "O peso que você carrega não é seu para sempre. Compartilhe-o."
64, "Seja a mão que estende a mão."
65, "Sua paz interior vale mais que qualquer desafio externo."
66, "Pequenos gestos de bondade podem salvar vidas."
67, "Não há vergonha em lutar contra seus próprios demônios."
68, "Fale sobre o que te machuca. Isso te liberta."
69, "Você é um sobrevivente, não um fracasso."
70, "Seja o farol na tempestade de outra pessoa."
71, "Às vezes, só um 'estou aqui para você' é o suficiente."
72, "Sua história ainda não acabou. Continue escrevendo."
73, "Não se defina por sua dor. Defina-se por sua capacidade de superá-la."
74, "O sofrimento não é um sinal de fraqueza, mas de que você sente."
75, "Você não precisa ser perfeito. Você só precisa ser você."
76, "A vida é um eco. O que você transmite, você recebe."
77, "Sua voz importa. Use-a para pedir e para oferecer ajuda."
78, "O perdão é a liberdade que você dá a si mesmo."
79, "A tristeza pode ser um convite para o autoconhecimento."
80, "Sua jornada é valiosa. Honre cada passo que você dá."
81, "Acredite na sua resiliência. Ela te guiará."
82, "A escuridão pode revelar as estrelas. Olhe para o céu."
83, "Seja gentil com seus pensamentos. Eles são a sua casa."
84, "A empatia é a chave que abre portas para a cura."
85, "Não deixe que a dor de hoje roube a alegria de amanhã."
86, "Você é um guerreiro de luz. Lute pela sua felicidade."
87, "Cada dia é um novo capítulo. Faça-o valer a pena."
88, "O autocuidado não é um luxo, é uma necessidade."
89, "A vida é um labirinto, mas há sempre uma saída."
90, "Não tenha medo de recuar, se for para pegar impulso."
91, "Sua força interior é seu maior tesouro."
92, "Celebre suas pequenas vitórias. Elas te levam longe."
93, "O passado é uma lição, não uma prisão."
94, "Você é a prova viva de que a vida vale a pena."
95, "Sua vida é única e insubstituível."
96, "Abrace a si mesmo(a) com a mesma compaixão que você abraçaria um amigo."
97, "Não se defina por suas perdas, mas por sua capacidade de se reerguer."
98, "Você é o herói da sua própria história."
99, "Cada dia é uma oportunidade de se reconectar com a sua essência."
100, "Sua vida é um presente. Desembrulhe-o com carinho todos os dias."
101, "Não tenha vergonha de pedir ajuda. Buscar apoio é um ato de coragem."
102, "Lembre-se: mesmo nos dias mais escuros, há sempre uma luz esperando por você."
103, "Sua vida é única e insubstituível. O mundo precisa de você, do seu jeito especial de ser."
104,"A vida é preciosa e você faz diferença no mundo.","Valorização da Vida"
105,"Conversar pode salvar vidas. Esteja presente para quem precisa.","Importância do Diálogo"
106,"Não há problema grande demais que não possa ser superado.","Superação"
107,"Você não está sozinho. Sempre há alguém disposto a ajudar.","Apoio"
108,"Cada dia é uma nova oportunidade de recomeçar.","Esperança"
109,"Sua dor é real, mas também é temporária.","Validação dos Sentimentos"
110,"Buscar ajuda é um ato de coragem, não de fraqueza.","Busca por Ajuda"
111,"O mundo é melhor com você nele.","Valorização da Pessoa"
112,"Pequenos passos também são progresso.","Paciência Consigo Mesmo"
113,"Você tem força para enfrentar mais um dia.","Encorajamento"
114,"Escutar sem julgar pode fazer toda a diferença.","Empatia"
115,"Não desista antes do milagre acontecer.","Perseverança"
116,"Sua história ainda está sendo escrita.","Futuro"
117,"É normal não estar bem às vezes.","Normalização dos Sentimentos"
118,"Você é mais forte do que imagina.","Autoestima"
119,"Procure ajuda profissional. Não há vergonha nisso.","Ajuda Profissional"
120,"Cada vida tem valor único e insubstituível.","Unicidade"
121,"As tempestades passam, o sol sempre volta a brilhar.","Esperança"
122,"Você faz diferença na vida de muitas pessoas.","Impacto Positivo"
123,"Falar sobre sentimentos é libertador.","Expressão dos Sentimentos"
124,"Cuide da sua saúde mental como cuida do seu corpo.","Autocuidado"
125,"Não há pressa para se sentir melhor. Respeite seu tempo.","Paciência"
126,"Você merece ser feliz e estar bem.","Merecimento"
127,"Lembre-se: esta também passará.","Temporariedade"
128,"Estenda a mão para quem precisa de apoio.","Solidariedade"
129,"Sua presença no mundo faz diferença.","Propósito"
130,"Não sofra em silêncio. Compartilhe sua dor.","Compartilhamento"
131,"Você já superou 100% dos seus piores dias.","Resiliência"
132,"A vida tem altos e baixos, mas vale a pena vivê-la.","Perspectiva"
133,"CVV 188 - Ligue sempre que precisar de alguém para conversar.","Recursos de Ajuda"
